rank,name,confed,off,def,spi
1,Brazil,CONMEBOL,3.29,0.25,94.43
2,Spain,UEFA,2.82,0.36,90.1
3,Portugal,UEFA,2.93,0.44,89.68
4,France,UEFA,2.78,0.43,88.62
5,Germany,UEFA,3.21,0.65,88.55
6,Netherlands,UEFA,2.87,0.56,87.13
7,Argentina,CONMEBOL,2.61,0.46,86.65
8,England,UEFA,2.51,0.51,84.58
9,Belgium,UEFA,2.77,0.69,83.93
10,Denmark,UEFA,2.46,0.56,82.91
11,Uruguay,CONMEBOL,2.3,0.49,82.58
12,Croatia,UEFA,2.36,0.59,81.08
13,Colombia,CONMEBOL,2.17,0.48,81.05
14,Italy,UEFA,2.31,0.58,80.65
15,Switzerland,UEFA,2.28,0.61,79.68
16,Serbia,UEFA,2.34,0.69,78.82
17,Morocco,CAF,2.26,0.64,78.75
18,Mexico,CONCACAF,2.04,0.54,77.85
19,Ecuador,CONMEBOL,2.03,0.56,77.33
20,Algeria,CAF,2.3,0.78,76.34
21,USA,CONCACAF,2.12,0.68,75.94
22,Japan,AFC,2.21,0.76,75.55
23,Czech Republic,UEFA,2.18,0.74,75.42
24,Tunisia,CAF,1.87,0.54,75.36
25,Canada,CONCACAF,1.99,0.69,73.57
26,Austria,UEFA,2.11,0.79,73.2
27,South Korea,AFC,1.87,0.64,72.64
28,Norway,UEFA,2.0,0.75,72.31
29,Poland,UEFA,1.95,0.78,70.86
30,Sweden,UEFA,2.09,0.89,70.81
31,Ukraine,UEFA,1.87,0.76,69.78
32,Iran,AFC,1.65,0.63,69.12
33,Mali,CAF,1.5,0.52,68.84
34,Chile,CONMEBOL,1.78,0.74,68.58
35,Scotland,UEFA,1.85,0.81,68.34
36,Wales,UEFA,1.75,0.74,68.19
37,Venezuela,CONMEBOL,1.85,0.82,68.08
38,Senegal,CAF,1.87,0.84,67.95
39,Peru,CONMEBOL,1.82,0.82,67.59
40,Turkey,UEFA,2.03,1.01,67.18
41,Australia,AFC,1.76,0.79,67.09
42,Russia,UEFA,1.86,0.9,66.55
43,Greece,UEFA,1.53,0.63,66.54
44,Ivory Coast,CAF,1.7,0.78,66.19
45,Egypt,CAF,1.54,0.68,65.54
46,Hungary,UEFA,1.7,0.85,64.51
47,Nigeria,CAF,1.65,0.81,64.46
48,Paraguay,CONMEBOL,1.64,0.84,63.67
49,Saudi Arabia,AFC,1.51,0.73,63.66
50,Cameroon,CAF,1.53,0.74,63.58
51,Rep of Ireland,UEFA,1.52,0.74,63.39
52,Panama,CONCACAF,1.63,0.9,61.73
53,Ghana,CAF,1.42,0.74,61.16
54,Finland,UEFA,1.6,0.98,59.35
55,Basque Country,UEFA,1.63,1.0,59.32
56,Bosnia and Herzegovina,UEFA,1.6,0.99,59.2
57,Qatar,AFC,1.66,1.09,58.05
58,Romania,UEFA,1.59,1.02,58.01
59,New Zealand,OFC,1.53,0.98,57.61
60,Georgia,UEFA,1.48,0.95,57.41
61,Uzbekistan,AFC,1.63,1.11,56.86
62,Slovenia,UEFA,1.43,0.94,56.63
63,Jamaica,CONCACAF,1.53,1.03,56.54
64,Bolivia,CONMEBOL,1.72,1.23,56.1
65,Costa Rica,CONCACAF,1.32,0.88,55.46
66,Kosovo,UEFA,1.64,1.21,54.82
67,Israel,UEFA,1.87,1.43,54.72
68,Burkina Faso,CAF,1.31,0.92,54.38
69,Guatemala,CONCACAF,1.43,1.03,54.36
70,Montenegro,UEFA,1.32,0.93,54.15
71,Northern Ireland,UEFA,1.41,1.03,54.09
72,Slovakia,UEFA,1.43,1.05,53.79
73,North Macedonia,UEFA,1.36,1.01,53.16
74,Haiti,CONCACAF,1.56,1.24,52.62
75,South Africa,CAF,1.22,0.92,51.94
76,Oman,AFC,1.21,0.92,51.9
77,Gabon,CAF,1.27,1.01,51.1
78,Honduras,CONCACAF,1.41,1.15,50.99
79,Bahrain,AFC,1.42,1.17,50.92
80,Albania,UEFA,1.18,0.93,50.81
81,Iceland,UEFA,1.38,1.17,50.11
82,Congo DR,CAF,1.28,1.06,50.1
83,Uganda,CAF,1.21,1.01,49.5
84,Cape Verde Islands,CAF,1.19,1.01,49.32
85,Angola,CAF,1.23,1.09,48.07
86,Zambia,CAF,1.48,1.4,47.35
87,Equatorial Guinea,CAF,1.14,1.04,47.16
88,Iraq,AFC,1.06,0.98,46.64
89,Ethiopia,CAF,1.24,1.21,45.56
90,United Arab Emirates,AFC,1.16,1.13,45.44
91,El Salvador,CONCACAF,1.19,1.18,45.14
92,Togo,CAF,1.25,1.25,45.1
93,Jordan,AFC,1.08,1.08,44.8
94,Bulgaria,UEFA,1.26,1.27,44.73
95,Namibia,CAF,1.03,1.05,44.03
96,Guinea,CAF,1.11,1.14,43.98
97,Benin,CAF,0.96,1.1,40.93
98,Luxembourg,UEFA,1.15,1.34,40.78
99,Kenya,CAF,1.09,1.3,40.21
100,Curacao,CONCACAF,1.17,1.4,39.91
101,Swaziland,CAF,1.12,1.34,39.82
102,Vietnam,AFC,1.04,1.26,39.74
103,China PR,AFC,1.01,1.24,39.22
104,Malawi,CAF,1.02,1.26,39.14
105,Libya,CAF,1.02,1.26,39.0
106,Armenia,UEFA,1.21,1.52,38.49
107,Mozambique,CAF,0.87,1.12,38.17
108,Trinidad and Tobago,CONCACAF,1.07,1.37,38.14
109,Suriname,CONCACAF,1.19,1.52,37.98
110,Zimbabwe,CAF,1.08,1.4,37.94
111,Azerbaijan,UEFA,0.98,1.27,37.9
112,Congo,CAF,1.03,1.34,37.81
113,Palestine,AFC,1.03,1.37,37.26
114,Guinea-Bissau,CAF,1.02,1.36,36.96
115,Estonia,UEFA,1.01,1.35,36.9
116,Botswana,CAF,0.75,1.03,36.85
117,Gambia,CAF,0.94,1.29,36.65
118,Cuba,CONCACAF,0.98,1.33,36.65
119,Madagascar,CAF,1.1,1.52,35.93
120,Belarus,UEFA,1.03,1.44,35.72
121,Tanzania,CAF,0.96,1.36,35.7
122,Sierra Leone,CAF,1.13,1.6,35.11
123,Mauritania,CAF,0.86,1.27,34.66
124,Sudan,CAF,1.03,1.51,34.36
125,Latvia,UEFA,1.14,1.66,34.31
126,Nicaragua,CONCACAF,1.02,1.55,33.44
127,Comoros,CAF,0.99,1.51,33.41
128,Central African Republic,CAF,1.14,1.73,32.96
129,Rwanda,CAF,0.68,1.13,32.52
130,Faroe Islands,UEFA,0.97,1.55,32.34
131,Syria,AFC,1.09,1.76,31.34
132,Niger,CAF,1.13,1.81,31.32
133,North Korea,AFC,0.81,1.39,30.99
134,Moldova,UEFA,0.88,1.57,29.68
135,Burundi,CAF,0.8,1.46,29.59
136,Thailand,AFC,0.83,1.52,29.36
137,Tajikistan,AFC,0.85,1.54,29.24
138,Kazakhstan,UEFA,0.83,1.57,28.5
139,Cyprus,UEFA,0.88,1.65,28.27
140,Kuwait,AFC,0.83,1.6,27.96
141,Malta,UEFA,0.81,1.61,27.3
142,Kyrgyzstan,AFC,0.94,1.8,27.18
143,Bermuda,CONCACAF,1.16,2.17,26.4
144,Martinique,CONCACAF,0.97,1.91,26.23
145,Liberia,CAF,0.76,1.61,26.01
146,Dominican Republic,CONCACAF,0.78,1.64,25.94
147,Lithuania,UEFA,0.81,1.75,25.13
148,Lebanon,AFC,0.66,1.52,25.11
149,Puerto Rico,CONCACAF,0.81,1.82,23.96
150,Chad,CAF,0.82,1.87,23.52
151,India,AFC,0.7,1.74,22.65
152,Lesotho,CAF,0.69,1.75,22.24
153,Zanzibar,CAF,0.49,1.47,21.39
154,Turkmenistan,AFC,0.87,2.1,21.3
155,Fiji,OFC,0.66,1.78,21.26
156,South Sudan,CAF,0.68,1.84,20.76
157,St. Kitts and Nevis,CONCACAF,0.88,2.19,20.44
158,French Guiana,CONCACAF,0.91,2.24,20.41
159,Malaysia,AFC,0.83,2.11,20.34
160,Solomon Islands,OFC,0.75,2.02,19.97
161,Eritrea,CAF,0.79,2.1,19.77
162,Guyana,CONCACAF,1.04,2.55,19.16
163,Tahiti,OFC,0.77,2.19,18.23
164,Grenada,CONCACAF,0.6,1.91,18.12
165,Montserrat,CONCACAF,0.97,2.55,17.86
166,Antigua and Barbuda,CONCACAF,0.79,2.3,17.37
167,Indonesia,AFC,0.88,2.49,17.11
168,New Caledonia,OFC,0.69,2.17,16.84
169,Andorra,UEFA,0.45,1.82,15.87
170,Vanuatu,OFC,0.64,2.21,15.4
171,St. Lucia,CONCACAF,0.48,2.0,14.46
172,Sao Tome and Principe,CAF,0.81,2.63,14.31
173,Hong Kong,AFC,0.39,1.86,14.04
174,Philippines,AFC,0.53,2.17,13.85
175,Belize,CONCACAF,0.5,2.16,13.36
176,Guadeloupe,CONCACAF,0.62,2.45,12.91
177,Dominica,CONCACAF,0.42,2.08,12.53
178,Papua New Guinea,OFC,0.69,2.65,12.25
179,Gibraltar,UEFA,0.53,2.34,12.21
180,Mauritius,CAF,0.53,2.34,12.14
181,Singapore,AFC,0.6,2.49,12.03
182,St. Vincent and the Grenadines,CONCACAF,0.62,2.58,11.74
183,Afghanistan,AFC,0.59,2.59,11.12
184,Barbados,CONCACAF,0.4,2.24,10.69
185,Somalia,CAF,0.52,2.74,8.96
186,Nepal,AFC,0.51,2.77,8.7
187,Yemen,AFC,0.35,2.42,8.5
188,Djibouti,CAF,0.75,3.33,8.45
189,Aruba,CONCACAF,0.56,3.0,7.91
190,Seychelles,CAF,0.32,2.63,6.87
191,Liechtenstein,UEFA,0.32,2.65,6.78
192,Maldives,AFC,0.38,2.97,5.85
193,Mongolia,AFC,0.22,2.56,5.77
194,Chinese Taipei,AFC,0.53,3.37,5.75
195,Bahamas,CONCACAF,0.37,3.07,5.29
196,Bonaire,CONCACAF,0.45,3.3,5.24
197,San Marino,UEFA,0.23,2.78,4.96
198,Bangladesh,AFC,0.21,2.79,4.68
199,Myanmar,AFC,0.45,3.51,4.45
200,Cayman Islands,CONCACAF,0.27,3.08,4.24
201,Guam,AFC,0.52,3.82,4.07
202,Cambodia,AFC,0.31,3.49,3.33
203,Northern Mariana Islands,AFC,0.43,4.27,2.4
204,St. Martin,CONCACAF,0.25,3.81,2.16
205,Sri Lanka,AFC,0.24,3.84,2.05
206,Anguilla,CONCACAF,0.22,3.83,1.94
207,Pakistan,AFC,0.2,3.92,1.71
208,Brunei,AFC,0.2,3.95,1.66
209,Laos,AFC,0.2,4.12,1.43
210,US Virgin Islands,CONCACAF,0.2,4.16,1.38
211,British Virgin Islands,CONCACAF,0.25,4.5,1.21
212,Bhutan,AFC,0.22,4.62,0.98
213,Cook Islands,OFC,0.2,4.72,0.85
214,Sint Maarten,CONCACAF,0.28,5.21,0.72
215,Tuvalu,OFC,0.38,5.62,0.7
216,Timor-Leste,AFC,0.27,5.25,0.69
217,Macau,AFC,0.2,5.01,0.66
218,Turks and Caicos Islands,CONCACAF,0.43,6.27,0.47
219,Samoa,OFC,0.2,5.78,0.34
220,Tonga,OFC,0.2,6.08,0.26
