"Name","League","Overall"
"1. FC Köln","German 1. Bundesliga (1)",74
"1. FC Union Berlin","German 1. Bundesliga (1)",74
"1. FSV Mainz 05","German 1. Bundesliga (1)",75
"AC Ajaccio","French Ligue 1 (1)",70
"AC Milan","Italian Serie A (1)",81
"AC Monza","Italian Serie A (1)",75
"AFC Bournemouth","English Premier League (1)",74
"AFC Richmond","English Premier League (1)",78
"AJ Auxerre","French Ligue 1 (1)",71
"Angers SCO","French Ligue 1 (1)",72
"Arsenal","English Premier League (1)",80
"AS Monaco","French Ligue 1 (1)",77
"Aston Villa","English Premier League (1)",79
"Atalanta","Italian Serie A (1)",79
"Athletic Club de Bilbao","Spain Primera Division (1)",79
"Atlético de Madrid","Spain Primera Division (1)",83
"Bayer 04 Leverkusen","German 1. Bundesliga (1)",80
"Bologna","Italian Serie A (1)",75
"Borussia Dortmund","German 1. Bundesliga (1)",81
"Borussia Mönchengladbach","German 1. Bundesliga (1)",77
"Brentford","English Premier League (1)",75
"Brighton & Hove Albion","English Premier League (1)",76
"CA Osasuna","Spain Primera Division (1)",76
"Cádiz CF","Spain Primera Division (1)",75
"Chelsea","English Premier League (1)",84
"Clermont Foot 63","French Ligue 1 (1)",70
"Crystal Palace","English Premier League (1)",76
"Eintracht Frankfurt","German 1. Bundesliga (1)",77
"Elche CF","Spain Primera Division (1)",74
"Empoli","Italian Serie A (1)",73
"ESTAC Troyes","French Ligue 1 (1)",72
"Everton","English Premier League (1)",78
"FC Augsburg","German 1. Bundesliga (1)",74
"FC Barcelona","Spain Primera Division (1)",84
"FC Bayern München","German 1. Bundesliga (1)",84
"FC Lorient","French Ligue 1 (1)",71
"FC Nantes","French Ligue 1 (1)",74
"FC Schalke 04","German 1. Bundesliga (1)",73
"Fiorentina","Italian Serie A (1)",77
"Fulham","English Premier League (1)",76
"Getafe CF","Spain Primera Division (1)",77
"Girona FC","Spain Primera Division (1)",74
"Hellas Verona","Italian Serie A (1)",75
"Hertha BSC","German 1. Bundesliga (1)",74
"Inter","Italian Serie A (1)",83
"Juventus","Italian Serie A (1)",82
"Lazio","Italian Serie A (1)",79
"Lecce","Italian Serie A (1)",71
"Leeds United","English Premier League (1)",76
"Leicester City","English Premier League (1)",79
"Liverpool","English Premier League (1)",85
"LOSC Lille","French Ligue 1 (1)",75
"Manchester City","English Premier League (1)",85
"Manchester United","English Premier League (1)",82
"Montpellier Hérault SC","French Ligue 1 (1)",75
"Napoli","Italian Serie A (1)",79
"Newcastle United","English Premier League (1)",78
"Nottingham Forest","English Premier League (1)",76
"OGC Nice","French Ligue 1 (1)",77
"Olympique de Marseille","French Ligue 1 (1)",78
"Olympique Lyonnais","French Ligue 1 (1)",78
"Paris Saint-Germain","French Ligue 1 (1)",85
"Racing Club de Lens","French Ligue 1 (1)",75
"Rayo Vallecano","Spain Primera Division (1)",75
"RB Leipzig","German 1. Bundesliga (1)",81
"RC Celta de Vigo","Spain Primera Division (1)",77
"RC Strasbourg Alsace","French Ligue 1 (1)",75
"RCD Espanyol de Barcelona","Spain Primera Division (1)",75
"RCD Mallorca","Spain Primera Division (1)",74
"Real Betis Balompié","Spain Primera Division (1)",79
"Real Madrid CF","Spain Primera Division (1)",85
"Real Sociedad","Spain Primera Division (1)",78
"Real Valladolid CF","Spain Primera Division (1)",75
"Roma","Italian Serie A (1)",80
"Sevilla FC","Spain Primera Division (1)",81
"Southampton","English Premier League (1)",75
"Spezia","Italian Serie A (1)",72
"Sport-Club Freiburg","German 1. Bundesliga (1)",76
"Stade Brestois 29","French Ligue 1 (1)",73
"Stade de Reims","French Ligue 1 (1)",72
"Stade Rennais FC","French Ligue 1 (1)",77
"SV Werder Bremen","German 1. Bundesliga (1)",73
"Torino F.C.","Italian Serie A (1)",74
"Tottenham Hotspur","English Premier League (1)",81
"Toulouse Football Club","French Ligue 1 (1)",71
"TSG Hoffenheim","German 1. Bundesliga (1)",76
"U.C. Sampdoria","Italian Serie A (1)",74
"U.S. Sassuolo Calcio","Italian Serie A (1)",75
"Udinese Calcio","Italian Serie A (1)",75
"Unión Deportiva Almería","Spain Primera Division (1)",74
"US Cremonese","Italian Serie A (1)",72
"US Salernitana 1919","Italian Serie A (1)",74
"Valencia CF","Spain Primera Division (1)",76
"VfB Stuttgart","German 1. Bundesliga (1)",74
"VfL Bochum 1848","German 1. Bundesliga (1)",73
"VfL Wolfsburg","German 1. Bundesliga (1)",77
"Villarreal CF","Spain Primera Division (1)",80
"West Ham United","English Premier League (1)",80
"Wolverhampton Wanderers","English Premier League (1)",79
