"Name","League","Overall"
"FC Cologne","German 1. Bundesliga (1)",74
"1. FC Union Berlin","German 1. Bundesliga (1)",74
"Mainz","German 1. Bundesliga (1)",75
"AC Ajaccio","French Ligue 1 (1)",70
"AC Milan","Italian Serie A (1)",81
"Monza","Italian Serie A (1)",75
"AFC Bournemouth","English Premier League (1)",74
"Auxerre","French Ligue 1 (1)",71
"Angers","French Ligue 1 (1)",72
"Arsenal","English Premier League (1)",80
"AS Monaco","French Ligue 1 (1)",77
"Aston Villa","English Premier League (1)",79
"Atalanta","Italian Serie A (1)",79
"Athletic Bilbao","Spain Primera Division (1)",79
"Atletico Madrid","Spain Primera Division (1)",83
"Bayer Leverkusen","German 1. Bundesliga (1)",80
"Bologna","Italian Serie A (1)",75
"Borussia Dortmund","German 1. Bundesliga (1)",81
"Borussia Monchengladbach","German 1. Bundesliga (1)",77
"Brentford","English Premier League (1)",75
"Brighton and Hove Albion","English Premier League (1)",76
"Osasuna","Spain Primera Division (1)",76
"Cadiz","Spain Primera Division (1)",75
"Chelsea","English Premier League (1)",84
"Clermont Foot","French Ligue 1 (1)",70
"Crystal Palace","English Premier League (1)",76
"Eintracht Frankfurt","German 1. Bundesliga (1)",77
"Elche","Spain Primera Division (1)",74
"Empoli","Italian Serie A (1)",73
"Troyes","French Ligue 1 (1)",72
"Everton","English Premier League (1)",78
"FC Augsburg","German 1. Bundesliga (1)",74
"Barcelona","Spain Primera Division (1)",84
"Bayern Munich","German 1. Bundesliga (1)",84
"Lorient","French Ligue 1 (1)",71
"Nantes","French Ligue 1 (1)",74
"Schalke 04","German 1. Bundesliga (1)",73
"Fiorentina","Italian Serie A (1)",77
"Fulham","English Premier League (1)",76
"Getafe","Spain Primera Division (1)",77
"Girona FC","Spain Primera Division (1)",74
"Verona","Italian Serie A (1)",75
"Hertha Berlin","German 1. Bundesliga (1)",74
"Internazionale","Italian Serie A (1)",83
"Juventus","Italian Serie A (1)",82
"Lazio","Italian Serie A (1)",79
"Lecce","Italian Serie A (1)",71
"Leeds United","English Premier League (1)",76
"Leicester City","English Premier League (1)",79
"Liverpool","English Premier League (1)",85
"Lille","French Ligue 1 (1)",75
"Manchester City","English Premier League (1)",85
"Manchester United","English Premier League (1)",82
"Montpellier","French Ligue 1 (1)",75
"Napoli","Italian Serie A (1)",79
"Newcastle","English Premier League (1)",78
"Nottingham Forest","English Premier League (1)",76
"Nice","French Ligue 1 (1)",77
"Marseille","French Ligue 1 (1)",78
"Lyon","French Ligue 1 (1)",78
"Paris Saint-Germain","French Ligue 1 (1)",85
"Lens","French Ligue 1 (1)",75
"Rayo Vallecano","Spain Primera Division (1)",75
"RB Leipzig","German 1. Bundesliga (1)",81
"Celta Vigo","Spain Primera Division (1)",77
"Strasbourg","French Ligue 1 (1)",75
"Espanyol","Spain Primera Division (1)",75
"Mallorca","Spain Primera Division (1)",74
"Real Betis","Spain Primera Division (1)",79
"Real Madrid","Spain Primera Division (1)",85
"Real Sociedad","Spain Primera Division (1)",78
"Real Valladolid","Spain Primera Division (1)",75
"AS Roma","Italian Serie A (1)",80
"Sevilla FC","Spain Primera Division (1)",81
"Southampton","English Premier League (1)",75
"Spezia","Italian Serie A (1)",72
"SC Freiburg","German 1. Bundesliga (1)",76
"Brest","French Ligue 1 (1)",73
"Reims","French Ligue 1 (1)",72
"Stade Rennes","French Ligue 1 (1)",77
"Werder Bremen","German 1. Bundesliga (1)",73
"Torino","Italian Serie A (1)",74
"Tottenham Hotspur","English Premier League (1)",81
"Toulouse","French Ligue 1 (1)",71
"TSG Hoffenheim","German 1. Bundesliga (1)",76
"Sampdoria","Italian Serie A (1)",74
"Sassuolo","Italian Serie A (1)",75
"Udinese","Italian Serie A (1)",75
"Almeria","Spain Primera Division (1)",74
"Cremonese","Italian Serie A (1)",72
"Salernitana","Italian Serie A (1)",74
"Valencia","Spain Primera Division (1)",76
"VfB Stuttgart","German 1. Bundesliga (1)",74
"VfL Bochum","German 1. Bundesliga (1)",73
"VfL Wolfsburg","German 1. Bundesliga (1)",77
"Villarreal","Spain Primera Division (1)",80
"West Ham United","English Premier League (1)",80
"Wolverhampton","English Premier League (1)",79
